date,portfolio_value,total_pnl,total_pnl_pct,drawdown_pct
2026-03-31,100000.0,0.0,0.0,0.0
2026-04-01,100000.0,0.0,0.0,0.0
2026-04-01,100000.0,0.0,0.0,0.0
2026-04-01,100000.0,0.0,0.0,0.0
2026-04-01,100000.0,0.0,0.0,0.0
2026-04-01,100000.0,0.0,0.0,0.0
2026-04-02,99996.7,-3.3,-0.003,0.003
2026-04-02,98317.72,-1682.28,-1.682,1.682
2026-04-02,98783.27,-1216.73,-1.217,1.217
2026-04-02,97617.26,-2382.74,-2.383,2.383
2026-04-02,99347.46,-652.54,-0.653,0.653
2026-04-02,98914.43,-1085.57,-1.086,1.086
2026-04-03,99014.23,-985.77,-0.986,0.986
2026-04-03,98874.07,-1125.93,-1.126,1.126
2026-04-03,99722.66,-277.34,-0.277,0.277
2026-04-03,99774.01,-225.99,-0.226,0.226
2026-04-03,100410.13,410.13,0.41,0.0
2026-04-03,100239.44,239.44,0.239,0.0
2026-04-04,100064.4,64.4,0.064,0.0
2026-04-04,100082.1,82.1,0.082,0.0
2026-04-04,100198.23,198.23,0.198,0.0
2026-04-04,100109.28,109.28,0.109,0.0
2026-04-04,101053.61,1053.61,1.054,0.0
2026-04-04,100838.47,838.47,0.838,0.0
2026-04-05,100730.5,730.5,0.731,0.0
2026-04-05,100175.08,175.08,0.175,0.0
2026-04-05,99370.28,-629.72,-0.63,0.63
2026-04-05,98996.28,-1003.72,-1.004,1.004
2026-04-05,99471.78,-528.22,-0.528,0.528
2026-04-05,99670.53,-329.47,-0.329,0.329
2026-04-06,102096.45,2096.45,2.096,0.0
2026-04-06,102165.91,2165.91,2.166,0.0
2026-04-06,102284.15,2284.15,2.284,0.0
2026-04-06,102862.29,2862.29,2.862,0.0
2026-04-06,102305.92,2305.92,2.306,0.0
2026-04-06,102337.95,2337.95,2.338,0.0
2026-04-07,99881.97,-118.03,-0.118,0.118
2026-04-07,99538.61,-461.39,-0.461,0.461
2026-04-07,99933.73,-66.27,-0.066,0.066
2026-04-07,98689.84,-1310.16,-1.31,1.31
2026-04-07,98644.58,-1355.42,-1.355,1.355
2026-04-07,102459.17,2459.17,2.459,0.0
2026-04-08,105415.35,5415.35,5.415,0.0
2026-04-08,105485.66,5485.66,5.486,0.0
2026-04-08,105504.36,5504.36,5.504,0.0
2026-04-08,105470.42,5470.42,5.47,0.0
2026-04-08,103957.88,3957.88,3.958,0.0
2026-04-08,103850.92,3850.92,3.851,0.0
2026-04-09,102258.98,2258.98,2.259,0.0
2026-04-09,102579.0,2579.0,2.579,0.0
2026-04-09,102819.32,2819.32,2.819,0.0
2026-04-09,102572.23,2572.23,2.572,0.0
2026-04-09,103738.04,3738.04,3.738,0.0
2026-04-09,105245.17,5245.17,5.245,0.0
2026-04-10,103653.64,3653.64,3.654,0.0
2026-04-10,104096.39,4096.39,4.096,0.0
2026-04-10,103335.88,3335.88,3.336,0.0
2026-04-10,105029.97,5029.97,5.03,0.0
2026-04-10,105463.29,5463.29,5.463,0.0
2026-04-10,106233.78,6233.78,6.234,0.0
2026-04-11,106233.78,6233.78,6.234,0.0
2026-04-11,106233.78,6233.78,6.234,0.0
2026-04-11,106233.78,6233.78,6.234,0.0
2026-04-11,106233.78,6233.78,6.234,0.0
2026-04-11,106233.78,6233.78,6.234,0.0
2026-04-11,106233.78,6233.78,6.234,0.0
2026-04-12,106233.78,6233.78,6.234,0.0
2026-04-12,106233.78,6233.78,6.234,0.0
2026-04-12,106233.78,6233.78,6.234,0.0
2026-04-12,106233.78,6233.78,6.234,0.0
2026-04-12,106233.78,6233.78,6.234,0.0
2026-04-12,106233.78,6233.78,6.234,0.0
2026-04-13,106233.78,6233.78,6.234,0.0
2026-04-13,106233.78,6233.78,6.234,0.0
2026-04-13,106233.78,6233.78,6.234,0.0
2026-04-13,106233.78,6233.78,6.234,0.0
2026-04-13,106233.78,6233.78,6.234,0.0
2026-04-13,106233.78,6233.78,6.234,0.0
2026-04-14,106233.78,6233.78,6.234,0.0
2026-04-14,106233.78,6233.78,6.234,0.0
2026-04-14,106233.78,6233.78,6.234,0.0
2026-04-14,106233.78,6233.78,6.234,0.0
2026-04-14,106233.78,6233.78,6.234,0.0
2026-04-14,106233.78,6233.78,6.234,0.0
2026-04-15,106233.78,6233.78,6.234,0.0
2026-04-15,106233.78,6233.78,6.234,0.0
2026-04-15,106233.78,6233.78,6.234,0.0
2026-04-15,106233.78,6233.78,6.234,0.0
2026-04-15,106233.78,6233.78,6.234,0.0
2026-04-15,106233.78,6233.78,6.234,0.0
2026-04-16,106233.78,6233.78,6.234,0.0
2026-04-16,106233.78,6233.78,6.234,0.0
2026-04-16,106233.78,6233.78,6.234,0.0
2026-04-16,106233.78,6233.78,6.234,0.0
2026-04-16,106233.78,6233.78,6.234,0.0
2026-04-16,106233.78,6233.78,6.234,0.0
2026-04-17,106233.78,6233.78,6.234,0.0
2026-04-17,106233.78,6233.78,6.234,0.0
2026-04-17,106233.78,6233.78,6.234,0.0
2026-04-17,106233.78,6233.78,6.234,0.0
2026-04-17,106233.78,6233.78,6.234,0.0
2026-04-17,106233.78,6233.78,6.234,0.0
2026-04-18,106233.78,6233.78,6.234,0.0
2026-04-18,106233.78,6233.78,6.234,0.0
2026-04-18,106233.78,6233.78,6.234,0.0
2026-04-18,106233.78,6233.78,6.234,0.0
2026-04-18,106233.78,6233.78,6.234,0.0
2026-04-18,106233.78,6233.78,6.234,0.0
2026-04-19,106233.78,6233.78,6.234,0.0
2026-04-19,106233.78,6233.78,6.234,0.0
2026-04-19,106233.78,6233.78,6.234,0.0
2026-04-19,106233.78,6233.78,6.234,0.0
2026-04-19,106233.78,6233.78,6.234,0.0
2026-04-19,106233.78,6233.78,6.234,0.0
2026-04-20,106233.78,6233.78,6.234,0.0
2026-04-20,106233.78,6233.78,6.234,0.0
2026-04-20,106233.78,6233.78,6.234,0.0
2026-04-20,106233.78,6233.78,6.234,0.0
2026-04-20,106233.78,6233.78,6.234,0.0
2026-04-20,106233.78,6233.78,6.234,0.0
2026-04-21,106233.78,6233.78,6.234,0.0
2026-04-21,106233.78,6233.78,6.234,0.0
2026-04-21,106233.78,6233.78,6.234,0.0
2026-04-21,106233.78,6233.78,6.234,0.0
2026-04-21,106233.78,6233.78,6.234,0.0
2026-04-21,106233.78,6233.78,6.234,0.0
2026-04-22,106233.78,6233.78,6.234,0.0
2026-04-22,106233.78,6233.78,6.234,0.0
2026-04-22,106233.78,6233.78,6.234,0.0
2026-04-22,106233.78,6233.78,6.234,0.0
2026-04-22,106233.78,6233.78,6.234,0.0
2026-04-22,106233.78,6233.78,6.234,0.0
2026-04-23,106233.78,6233.78,6.234,0.0
2026-04-23,106233.78,6233.78,6.234,0.0
2026-04-23,106233.78,6233.78,6.234,0.0
2026-04-23,106233.78,6233.78,6.234,0.0
2026-04-23,106233.78,6233.78,6.234,0.0
