date,portfolio_value,total_pnl,total_pnl_pct,drawdown_pct
2026-03-31,100000.0,0.0,0.0,0.0
2026-03-31,100000.0,0.0,0.0,0.0
2026-03-31,100000.0,0.0,0.0,0.0
2026-04-01,100000.0,0.0,0.0,0.0
2026-04-01,100000.0,0.0,0.0,0.0
2026-04-02,100000.0,-0.0,-0.0,0.0
2026-04-03,100000.0,-0.0,-0.0,0.0
2026-04-06,100156.34,156.34,0.156,0.0
2026-04-07,100404.79,404.79,0.405,0.0
2026-04-08,102657.86,2657.86,2.658,0.0
2026-04-09,103666.15,3666.15,3.666,0.0
2026-04-10,106190.65,6190.65,6.191,0.0
2026-04-13,106602.91,6602.91,6.603,0.0
2026-04-14,110519.37,10519.37,10.519,0.0
2026-04-15,111841.04,11841.04,11.841,0.0
2026-04-16,111573.03,11573.03,11.573,0.0
2026-04-17,113425.44,13425.44,13.425,0.0
2026-04-20,113613.37,13613.37,13.613,0.0
2026-04-21,112408.32,12408.32,12.408,0.0
2026-04-22,113863.79,13863.79,13.864,0.0
2026-04-23,112303.16,12303.16,12.303,0.0
2026-04-24,116966.34,16966.34,16.966,0.0
2026-04-27,121443.22,21443.22,21.443,0.0
2026-04-28,119574.02,19574.02,19.574,0.0
