date,portfolio_value,total_pnl,total_pnl_pct,drawdown_pct
2026-03-31,100000.0,0.0,0.0,0.0
2026-04-01,99999.97,-0.03,-0.0,0.0
2026-04-01,99843.98,-156.02,-0.156,0.156
2026-04-01,99001.65,-998.35,-0.998,0.998
2026-04-01,101298.75,1298.75,1.299,0.0
2026-04-01,98445.67,-1554.33,-1.554,1.554
2026-04-02,95663.7,-4336.3,-4.336,4.336
2026-04-02,93923.98,-6076.02,-6.076,6.076
2026-04-02,93925.55,-6074.45,-6.074,6.074
2026-04-02,93925.55,-6074.45,-6.074,6.074
2026-04-02,93925.55,-6074.45,-6.074,6.074
2026-04-02,93925.55,-6074.45,-6.074,6.074
2026-04-03,93925.55,-6074.45,-6.074,6.074
2026-04-03,93925.55,-6074.45,-6.074,6.074
2026-04-03,93925.55,-6074.45,-6.074,6.074
2026-04-03,93925.55,-6074.45,-6.074,6.074
2026-04-03,93925.55,-6074.45,-6.074,6.074
2026-04-03,93925.55,-6074.45,-6.074,6.074
2026-04-04,93925.55,-6074.45,-6.074,6.074
2026-04-04,93925.55,-6074.45,-6.074,6.074
2026-04-04,93925.55,-6074.45,-6.074,6.074
2026-04-04,93925.55,-6074.45,-6.074,6.074
2026-04-04,93925.55,-6074.45,-6.074,6.074
2026-04-04,93925.55,-6074.45,-6.074,6.074
2026-04-05,93925.55,-6074.45,-6.074,6.074
2026-04-05,93925.55,-6074.45,-6.074,6.074
2026-04-05,93925.55,-6074.45,-6.074,6.074
2026-04-05,93925.55,-6074.45,-6.074,6.074
2026-04-05,93925.55,-6074.45,-6.074,6.074
2026-04-05,93925.55,-6074.45,-6.074,6.074
2026-04-06,93930.38,-6069.62,-6.07,6.07
2026-04-06,93997.59,-6002.41,-6.002,6.002
2026-04-06,94136.4,-5863.6,-5.864,5.864
2026-04-06,94677.53,-5322.47,-5.322,5.322
2026-04-06,94179.7,-5820.3,-5.82,5.82
2026-04-06,94232.11,-5767.89,-5.768,5.768
2026-04-07,91941.47,-8058.53,-8.059,8.059
2026-04-07,91921.66,-8078.34,-8.078,8.078
2026-04-07,91937.6,-8062.4,-8.062,8.062
2026-04-07,91883.48,-8116.52,-8.117,8.117
2026-04-07,91877.02,-8122.98,-8.123,8.123
2026-04-07,91943.73,-8056.27,-8.056,8.056
2026-04-08,92190.74,-7809.26,-7.809,7.809
2026-04-08,92237.84,-7762.16,-7.762,7.762
2026-04-08,92304.63,-7695.37,-7.695,7.695
2026-04-08,92278.29,-7721.71,-7.722,7.722
2026-04-08,90978.21,-9021.79,-9.022,9.022
2026-04-08,90978.21,-9021.79,-9.022,9.022
2026-04-09,90978.21,-9021.79,-9.022,9.022
2026-04-09,90978.21,-9021.79,-9.022,9.022
2026-04-09,90980.14,-9019.86,-9.02,9.02
2026-04-09,90733.66,-9266.34,-9.266,9.266
2026-04-09,91807.32,-8192.68,-8.193,8.193
2026-04-09,93077.2,-6922.8,-6.923,6.923
2026-04-10,91759.44,-8240.56,-8.241,8.241
2026-04-10,92148.38,-7851.62,-7.852,7.852
2026-04-10,91464.57,-8535.43,-8.535,8.535
2026-04-10,91464.57,-8535.43,-8.535,8.535
2026-04-10,91464.57,-8535.43,-8.535,8.535
2026-04-10,91464.57,-8535.43,-8.535,8.535
2026-04-11,91464.57,-8535.43,-8.535,8.535
2026-04-11,91464.57,-8535.43,-8.535,8.535
2026-04-11,91462.72,-8537.28,-8.537,8.537
2026-04-11,91270.62,-8729.38,-8.729,8.729
2026-04-11,91786.33,-8213.67,-8.214,8.214
2026-04-11,92917.45,-7082.55,-7.083,7.083
2026-04-12,90398.19,-9601.81,-9.602,9.602
2026-04-12,89272.32,-10727.68,-10.728,10.728
2026-04-12,89241.57,-10758.43,-10.758,10.758
2026-04-12,89212.35,-10787.65,-10.788,10.788
2026-04-12,89212.35,-10787.65,-10.788,10.788
2026-04-12,89212.35,-10787.65,-10.788,10.788
2026-04-13,89212.35,-10787.65,-10.788,10.788
2026-04-13,89212.35,-10787.65,-10.788,10.788
2026-04-13,89212.35,-10787.65,-10.788,10.788
2026-04-13,89212.35,-10787.65,-10.788,10.788
2026-04-13,89212.35,-10787.65,-10.788,10.788
2026-04-13,89212.35,-10787.65,-10.788,10.788
2026-04-14,89212.35,-10787.65,-10.788,10.788
2026-04-14,88825.65,-11174.35,-11.174,11.174
2026-04-14,90076.97,-9923.03,-9.923,9.923
2026-04-14,89582.24,-10417.76,-10.418,10.418
2026-04-14,84300.34,-15699.66,-15.7,15.7
2026-04-14,81957.32,-18042.68,-18.043,18.043
2026-04-15,82702.32,-17297.68,-17.298,17.298
2026-04-15,82618.56,-17381.44,-17.381,17.381
2026-04-15,82325.42,-17674.58,-17.675,17.675
2026-04-15,88163.15,-11836.85,-11.837,11.837
2026-04-15,83412.5,-16587.5,-16.588,16.588
2026-04-15,84374.64,-15625.36,-15.625,15.625
2026-04-16,84032.87,-15967.13,-15.967,15.967
2026-04-16,85383.85,-14616.15,-14.616,14.616
2026-04-16,84928.41,-15071.59,-15.072,15.072
2026-04-16,85615.2,-14384.8,-14.385,14.385
2026-04-16,85481.19,-14518.81,-14.519,14.519
2026-04-16,86771.02,-13228.98,-13.229,13.229
2026-04-17,86946.9,-13053.1,-13.053,13.053
2026-04-17,85489.57,-14510.43,-14.51,14.51
2026-04-17,86804.52,-13195.48,-13.195,13.195
2026-04-17,88259.48,-11740.52,-11.741,11.741
2026-04-17,89557.61,-10442.39,-10.442,10.442
2026-04-17,87970.45,-12029.55,-12.03,12.03
2026-04-18,87841.52,-12158.48,-12.158,12.158
2026-04-18,87167.96,-12832.04,-12.832,12.832
2026-04-18,88121.28,-11878.72,-11.879,11.879
2026-04-18,88121.28,-11878.72,-11.879,11.879
2026-04-18,88121.28,-11878.72,-11.879,11.879
2026-04-18,88121.28,-11878.72,-11.879,11.879
2026-04-19,88121.28,-11878.72,-11.879,11.879
2026-04-19,88121.28,-11878.72,-11.879,11.879
2026-04-19,88121.28,-11878.72,-11.879,11.879
2026-04-19,88121.28,-11878.72,-11.879,11.879
2026-04-19,88121.28,-11878.72,-11.879,11.879
2026-04-19,88121.28,-11878.72,-11.879,11.879
2026-04-20,88121.28,-11878.72,-11.879,11.879
2026-04-20,88121.28,-11878.72,-11.879,11.879
2026-04-20,88121.28,-11878.72,-11.879,11.879
2026-04-20,88121.28,-11878.72,-11.879,11.879
2026-04-20,88121.28,-11878.72,-11.879,11.879
2026-04-20,88121.28,-11878.72,-11.879,11.879
2026-04-21,88121.28,-11878.72,-11.879,11.879
2026-04-21,88121.28,-11878.72,-11.879,11.879
2026-04-21,88121.28,-11878.72,-11.879,11.879
2026-04-21,88121.28,-11878.72,-11.879,11.879
2026-04-21,88121.28,-11878.72,-11.879,11.879
2026-04-21,88121.28,-11878.72,-11.879,11.879
2026-04-22,88121.28,-11878.72,-11.879,11.879
2026-04-22,88121.28,-11878.72,-11.879,11.879
2026-04-22,88429.27,-11570.73,-11.571,11.571
2026-04-22,88610.83,-11389.17,-11.389,11.389
2026-04-22,87811.67,-12188.33,-12.188,12.188
2026-04-22,87286.1,-12713.9,-12.714,12.714
2026-04-23,86373.73,-13626.27,-13.626,13.626
2026-04-23,85868.78,-14131.22,-14.131,14.131
2026-04-23,85591.98,-14408.02,-14.408,14.408
2026-04-23,85591.98,-14408.02,-14.408,14.408
2026-04-23,85591.98,-14408.02,-14.408,14.408
2026-04-23,85591.98,-14408.02,-14.408,14.408
2026-04-24,85591.98,-14408.02,-14.408,14.408
2026-04-24,85591.98,-14408.02,-14.408,14.408
2026-04-24,83437.21,-16562.79,-16.563,16.563
2026-04-24,84055.18,-15944.82,-15.945,15.945
2026-04-24,83835.64,-16164.36,-16.164,16.164
2026-04-24,84412.95,-15587.05,-15.587,15.587
2026-04-25,84624.37,-15375.63,-15.376,15.376
2026-04-25,84404.82,-15595.18,-15.595,15.595
2026-04-25,84421.08,-15578.92,-15.579,15.579
2026-04-25,83794.98,-16205.02,-16.205,16.205
2026-04-25,83998.26,-16001.74,-16.002,16.002
2026-04-25,83738.06,-16261.94,-16.262,16.262
2026-04-26,83990.13,-16009.87,-16.01,16.01
2026-04-26,84331.64,-15668.36,-15.668,15.668
2026-04-26,84315.38,-15684.62,-15.685,15.685
2026-04-26,84591.84,-15408.16,-15.408,15.408
2026-04-26,84697.54,-15302.46,-15.302,15.302
2026-04-26,85307.39,-14692.61,-14.693,14.693
2026-04-27,85722.08,-14277.92,-14.278,14.278
2026-04-27,84181.1,-15818.9,-15.819,15.819
2026-04-27,84065.57,-15934.43,-15.934,15.934
2026-04-27,83992.08,-16007.92,-16.008,16.008
2026-04-27,85405.04,-14594.96,-14.595,14.595
2026-04-27,85405.04,-14594.96,-14.595,14.595
2026-04-28,85405.04,-14594.96,-14.595,14.595
2026-04-28,85405.04,-14594.96,-14.595,14.595
2026-04-28,85405.04,-14594.96,-14.595,14.595
2026-04-28,85405.04,-14594.96,-14.595,14.595
2026-04-28,85405.04,-14594.96,-14.595,14.595
