timestamp,symbol,side,qty,price,pnl,reason
2026-04-01T05:51:40.947934,SOL-USD,BUY,1131.22171946,83.98,0.0,"3d momentum=2.40%, accel=3.09%"
2026-04-01T05:51:40.948011,ETH-USD,BUY,2.23816951,2122.27,0.0,"3d momentum=6.50%, accel=4.88%"
2026-04-02T05:28:44.653458,SOL-USD,SELL,1131.22171946,78.76,-5904.98,"3d momentum=-3.27%, accel=-4.60%"
2026-04-02T08:45:30.289657,ETH-USD,SELL,2.23816951,2046.55,-169.47,"3d momentum=1.14%, accel=-6.74%"
2026-04-06T01:28:39.246768,SOL-USD,BUY,1090.28923519,81.84,0.0,"3d momentum=3.66%, accel=4.14%"
2026-04-06T01:28:39.246832,ETH-USD,BUY,2.10895043,2115.49,0.0,"3d momentum=2.85%, accel=6.28%"
2026-04-07T01:26:04.865150,SOL-USD,SELL,1090.28923519,80.02,-1984.33,"3d momentum=-0.43%, accel=-4.11%"
2026-04-08T01:26:48.830086,SOL-USD,BUY,983.0349012,84.54,0.0,"3d momentum=4.62%, accel=4.89%"
2026-04-08T16:52:13.325695,SOL-USD,SELL,983.0349012,83.34,-1179.64,"3d momentum=1.82%, accel=-4.17%"
2026-04-08T16:52:13.325753,ETH-USD,SELL,2.10895043,2218.21,216.63,"3d momentum=5.18%, accel=-3.37%"
2026-04-09T09:03:02.754628,SOL-USD,BUY,1048.0089845,82.47,0.0,"3d momentum=2.90%, accel=2.01%"
2026-04-09T09:03:02.754685,AVAX-USD,BUY,472.29126203,9.15,0.0,"3d momentum=2.73%, accel=2.72%"
2026-04-10T09:00:29.788604,SOL-USD,SELL,1048.0089845,82.88,429.68,"3d momentum=-3.23%, accel=-7.16%"
2026-04-10T09:00:29.788670,AVAX-USD,SELL,472.29126203,9.27,56.67,"3d momentum=-2.19%, accel=-7.19%"
