timestamp,portfolio_value,total_pnl,total_pnl_pct,drawdown_pct
2026-03-31T21:25:23.581282,100000.0,0.0,0.0,0.0
2026-03-31T21:36:15.947166,100000.0,0.0,0.0,0.0
2026-03-31T21:38:17.584712,100000.0,0.0,0.0,0.0
2026-03-31T21:38:48.948648,11777.91,-88222.09,-88.222,88.222
2026-03-31T21:39:35.008111,11794.35,0.0,0.0,0.0
2026-03-31T21:40:50.225841,11810.8,16.45,0.139,0.0
2026-03-31T21:41:18.910517,3905.4,-7888.95,-66.888,66.934
2026-03-31T21:41:37.174860,3910.88,0.0,0.0,0.0
2026-04-01T05:51:43.124993,791.73,-3119.15,-79.756,79.756
2026-04-01T08:55:11.082691,837.85,-3073.03,-78.576,78.576
2026-04-01T12:57:24.051716,1025.25,-2885.63,-73.785,73.785
2026-04-01T16:44:50.437359,1661.27,-2249.61,-57.522,57.522
2026-04-01T20:36:09.784848,1289.07,-2621.81,-67.039,67.039
2026-04-02T01:22:22.679494,83.91,-3826.97,-97.854,97.854
2026-04-02T05:28:46.809617,0.0,-3910.88,-100.0,100.0
2026-04-02T08:45:32.829738,0.0,-3910.88,-100.0,100.0
2026-04-02T12:52:01.014254,0.0,-3910.88,-100.0,100.0
2026-04-02T16:46:54.996542,0.0,-3910.88,-100.0,100.0
2026-04-02T20:27:02.249227,0.0,-3910.88,-100.0,100.0
2026-04-03T01:24:58.433238,0.0,-3910.88,-100.0,100.0
2026-04-03T05:29:37.641916,0.0,-3910.88,-100.0,100.0
2026-04-03T08:42:41.805521,3588.57,-322.31,-8.241,8.241
2026-04-03T12:41:19.056226,3590.74,-320.14,-8.186,8.186
2026-04-03T16:30:32.754266,3614.13,-296.75,-7.588,7.588
2026-04-03T20:26:40.210252,3607.28,-303.6,-7.763,7.763
2026-04-04T01:19:04.274293,3601.97,-308.91,-7.899,7.899
2026-04-04T05:18:24.878283,3602.76,-308.12,-7.878,7.878
2026-04-04T08:31:10.910837,3607.07,-303.81,-7.768,7.768
2026-04-04T12:35:03.528265,3604.1,-306.78,-7.844,7.844
2026-04-04T16:24:50.825886,3638.79,-272.09,-6.957,6.957
2026-04-04T20:19:59.892613,3629.38,-281.5,-7.198,7.198
2026-04-05T01:28:31.958151,3626.42,-284.46,-7.274,7.274
2026-04-05T05:41:50.027181,3606.64,-304.24,-7.779,7.779
2026-04-05T08:34:06.226710,3577.68,-333.2,-8.52,8.52
2026-04-05T12:36:51.863798,3563.84,-347.04,-8.874,8.874
2026-04-05T16:26:33.727212,3580.46,-330.42,-8.449,8.449
2026-04-05T20:23:31.151865,3588.5,-322.38,-8.243,8.243
2026-04-06T01:28:41.354468,3677.68,-233.2,-5.963,5.963
2026-04-06T05:55:30.412225,3679.3,-231.58,-5.921,5.921
2026-04-06T09:01:29.712473,3990.4,79.52,2.033,0.0
2026-04-06T12:50:01.091143,3705.17,-205.71,-5.26,7.148
2026-04-06T16:36:56.709318,3684.22,-226.66,-5.796,7.673
2026-04-06T20:30:04.094620,3686.93,-223.95,-5.726,7.605
2026-04-07T01:26:07.304262,3595.84,-315.04,-8.055,9.888
