date,portfolio_value,total_pnl,total_pnl_pct,drawdown_pct
2026-03-31,100000.0,0.0,0.0,0.0
2026-03-31,100000.0,0.0,0.0,0.0
2026-03-31,100000.0,0.0,0.0,0.0
2026-04-01,100000.0,0.0,0.0,0.0
2026-04-01,100000.0,0.0,0.0,0.0
2026-04-02,103294.56,3294.56,3.295,0.0
2026-04-03,103294.56,3294.56,3.295,0.0
2026-04-06,104505.73,4505.73,4.506,0.0
2026-04-07,105115.84,5115.84,5.116,0.0
2026-04-08,109766.19,9766.19,9.766,0.0
2026-04-09,111944.48,11944.48,11.944,0.0
2026-04-10,115862.44,15862.44,15.862,0.0
2026-04-13,116691.27,16691.27,16.691,0.0
2026-04-14,120604.05,20604.05,20.604,0.0
2026-04-15,122045.3,22045.3,22.045,0.0
2026-04-16,131134.33,31134.33,31.134,0.0
2026-04-17,131282.05,31282.05,31.282,0.0
2026-04-20,129736.73,29736.73,29.737,0.0
2026-04-21,133990.2,33990.2,33.99,0.0
2026-04-22,142633.45,42633.45,42.633,0.0
